Rank,Name,Twittername,screen_name,user_mentions,retweet_count,Followers_count,Tweets,Likes,friends_count,status_count,Account_age(days),Average_tweets_per day
100,Jeffrey Gettleman,@gettleman),gettleman,194,1448596,25701,3118,31478,37,3769,3340,1.13
99,Africa24 Media,@a24media),a24media,12,10814,31294,3229,2076,3060,16858,4132,4.08
98,Scapegoat,@andiMakinana),AndiMakinana,6112,2650300,101172,3201,73068,2839,142218,3967,35.85
97,Africa Check,@AfricaCheck),AfricaCheck,617,30975,68029,3234,17385,4589,27310,2936,9.3
96,James Copnall,@JamesCopnall),JamesCopnall,28,736422,21960,3186,8143,5045,19434,3182,6.11
95,Online Africa,@oafrica),oafrica,0,17241,31301,3154,2045,2877,6864,3990,1.72
94,Patrick Ngowi,@PatrickNgowi),PatrickNgowi,0,82076,22796,1601,4366,179,1638,2774,0.59
93,DOS African Affairs,@StateAfrica),stateafrica,0,0,8,1,1,0,1,1131,0
92,MoadowAJE,@Moadow),Moadow,6,2355555,50955,3067,5672,1732,21549,4112,5.24
91,Brendan Boyle,@BrendanSAfrica),BrendanSAfrica,0,151962,28461,3217,2958,366,3892,4192,0.93
90,City of Tshwane,@CityTshwane),CityTshwane,6458,115872,438540,3239,16975,2928,81135,3703,21.91
89,VISI Magazine,@VISI_Mag),VISI_Mag,32,2434,52898,3226,9614,1819,16884,3971,4.25
88,andBeyond,@andBeyondSafari),,0,237701,,3243,8233,,,,
87,This Is Africa,@ThisIsAfricaTIA),ThisIsAfricaTIA,16,312292,46773,3243,41653,2139,23988,4035,5.94
86,Sarah Carter,@sarzss),sarzss,1,51048,11929,2160,1031,894,2165,3537,0.61
85,The EIU Africa team,@TheEIU_Africa),TheEIU_Africa,21,14919,24860,2521,1713,294,2523,3803,0.66
84,Investing In Africa,@InvestInAfrica),InvestInAfrica,74,9959,49682,2813,3108,172,2814,4323,0.65
83,Barry Malone,@malonebarry),malonebarry,534,10830070,28423,3200,339630,2986,35229,4209,8.38
82,ARTsouthAFRICA,@artsouthafrica),ArtSouthAfrica,0,334,116,21,8,132,23,1508,0.02
81,Kahn Morbee,@KahnMorbee),KahnMorbee,3,27914,17441,3196,11459,424,4993,4187,1.19
80,Jamal Osman,@JamalMOsman),JamalMOsman,45,1687383,93911,3199,29905,659,13503,3547,3.81
79,iamsuede™,@iamsuede),iamsuede,10,2189689,18240,3243,5215,2257,88732,4135,21.46
78,Mike Stopforth,@mikestopforth),mikestopforth,139,2544783,21348,3229,17506,813,43268,4881,8.8
77,Equal Education,@equal_education),equal_education,466,237737,62152,3244,8245,744,26728,3682,7.27
76,Tristan McConnell,@t_mcconnell),t_mcconnell,20,736717,18505,3249,22374,941,15627,3153,4.96
75,Kate Forbes,@forbeesta),forbeesta,3,234023,20000,3214,4579,3605,9575,4209,2.28
72,Jax Panik,@jaxpanik),jaxpanik,0,1038218,7489,3172,3444,15,15410,4583,3.36
71,This Is Africa,@thisisafrica),ThisisAfrica,0,,6,,,0,0,440,0
70,Audi South Africa,@audisouthafrica),audisouthafrica,1153,35380,215140,3244,219490,1155,22978,3617,6.36
69,ONE,@ONEinAfrica),ONEinAfrica,920,106204,232855,3184,78202,89622,7566,3225,2.25
68,Hamza Mohamed,@Hamza_Africa),Hamza_Africa,708,874413,98708,3177,72910,220,17746,3825,4.64
