African_govt_influencers,Twitter_name,No. of followers,Country
Malawi Government,@MalawiGovt,39008,
Seychelles Ministry of Finance,@FinanceSC,126,
Hage G. Geingob,@hagegeingob,191708,
PresidencyZA,@PresidencyZA,1595331,
Ministry of Health Zambia,@mohzambia,7092,
President of Zimbabwe,@edmnangagwa,544351,
MinSantédj,@MinSantedj,2914,
Yemane G. Meskel,@hawelti,65881,
State House Kenya,@StateHouseKenya,1100680,
Paul Kagame,@PaulKagame,1978560,
Mohamed Farmaajo,@M_Farmaajo,421125,
South Sudan Government,@SouthSudanGov,2521,
Abdalla Hamdok,@SudanPMHamdok,368099,
TanzaniaSpokesperson,@TZSpokesperson,3994,
Yoweri K Museveni,@KagutaMuseveni,1806255,
Angola,@angola_Mirex,3256,
Amb. Willy Nyamitwe,@willynyamitwe,107165,
Chérif Mahamat Zene,@Cherif_MZ,18233,
Présidence RDC,@Presidence_RDC,338342,
Ali Bongo Ondimba,@PresidentABO,172803,
Présidence du Bénin,@PresidenceBenin,30000,
Roch KABORE,@rochkaborepf,255187,
Presidente Cabo Verde,@PresidenciaCV,3266,
Alassane Ouattara,@AOuattara_PRCI,827673,
State House of The Gambia,@Presidency_GMB,10644,
"Nana Akufo', 'Addo",@NAkufoAddo,1501262,
Pr. Alpha CONDÉ,@President_GN,699,
Umaro Sissoco Embalo,@USEmbalo,8460,
Presidence Mali,@PresidenceMali,228014,
Mohamed Cheikh El Ghazouani,@CheikhGhazouani,31586,
Issoufou Mahamadou,@IssoufouMhm,115650,
Muhammadu Buhari,@MBuhari,3265113,
Macky Sall,@Macky_Sall,1370436,
President Julius Maada Bio,@PresidentBio,14591,
Ministère de la Santé et de l'hygiène Publique,@MSPS_Togo,1130,
