Rank,Name,Twittername
100, Jeffrey Gettleman ,@gettleman)
99, Africa24 Media ,@a24media)
98, Scapegoat ,@andiMakinana)
97, Africa Check ,@AfricaCheck)
96, James Copnall ,@JamesCopnall)
95, Online Africa ,@oafrica)
94, Patrick Ngowi ,@PatrickNgowi)
93, DOS African Affairs ,@StateAfrica)
92, MoadowAJE ,@Moadow)
91, Brendan Boyle ,@BrendanSAfrica)
90, City of Tshwane ,@CityTshwane)
89, VISI Magazine ,@VISI_Mag)
88, andBeyond ,@andBeyondSafari)
87, This Is Africa ,@ThisIsAfricaTIA)
86, Sarah Carter ,@sarzss)
85, The EIU Africa team ,@TheEIU_Africa)
84, Investing In Africa ,@InvestInAfrica)
83, Barry Malone ,@malonebarry)
82, ARTsouthAFRICA ,@artsouthafrica)
81, Kahn Morbee ,@KahnMorbee)
80, Jamal Osman ,@JamalMOsman)
79, iamsuede™ ,@iamsuede)
78, Mike Stopforth ,@mikestopforth)
77, Equal Education ,@equal_education)
76, Tristan McConnell ,@t_mcconnell)
75, Kate Forbes ,@forbeesta)
74, Vanessa Raphaely ,@hurricanevaness)
73, Karen Allen ,@BBCKarenAllen)
72, Jax Panik ,@jaxpanik)
71, This Is Africa ,@thisisafrica)
70, Audi South Africa ,@audisouthafrica)
69, ONE ,@ONEinAfrica)
68, Hamza Mohamed ,@Hamza_Africa)
67, drew hinshaw ,@drewfhinshaw)
66, Rebecca Enonchong ,@africatechie)
65, marais ,@cx73)
64, George Ayittey ,@ayittey)
63, Mercedes-Benz SA ,@MercedesBenz_SA)
62, Africa Gathering ,@africagathering)
61, okayafrica ,@okayafrica)
60, Mary Harper ,@mary_harper)
59, Save the Rhino ,@savetherhino)
58, africa @pressfreedom ,@africamedia_CPJ)
57, TechCentral ,@TechCentral)
56, GautengGovt ,@GautengProvince)
55, Abdi Aynte ,@Aynte)
54, Daniel Howden ,@daniel_howden)
53, Ranger Diaries ,@rangerdiaries)
52, The Star ,@TheStar_news)
51, James Schneider ,@schneiderhome)
50, Afrinnovator ,@Afrinnovator)
49, theafricareport ,@theafricareport)
48, City of Joburg ,@CityofJoburgZA)
47, Think Africa Press ,@ThinkAfricaFeed)
46, Africa The Good News ,@AfricaGoodNews)
45, will ross ,@willintune)
44, CNBC Africa ,@cnbcafrica)
43, HowWeMadeItInAfrica ,@MadeItInAfrica)
42, Africa Research Inst ,@AfricaResearch)
41, FoodBlog Cape Town ,@FoodBlogCT)
40, Mbuyiseni Ndlozi ,@MbuyiseniNdlozi)
39, AfricaProgressPanel ,@africaprogress)
38, IFC Africa ,@IFCAfrica)
37, Henley Africa ,@HenleyAfrica)
36, The New Age ,@The_New_Age)
35, Geoffrey York ,@geoffreyyork)
34, Entrepreneur Mag SA ,@Entrepreneur_SA)
33, Forbes Africa ,@forbesafrica)
32, IEC South Africa ,@IECSouthAfrica)
31, Arthur Goldstuck ,@art2gee)
30, Jendayi E Frazer ,@JendayiFrazer)
29, Peter Greste ,@PeterGreste)
28, Disaster Operations ,@NDOCKenya)
27, Mo Ibrahim Fdn ,@Mo_IbrahimFdn)
26, Parliament of RSA ,@ParliamentofRSA)
25, Sandton City ,@SandtonCity)
24, African Union ,@_AfricanUnion)
23, Gert-Johan Coetzee ,@gertjohan)
22, David Smith ,@SmithInAfrica)
21, Ray Hartley ,@hartleyr)
20, Live Amp ,@liveamp)
19, Samsung South Africa ,@SamsungSA)
18, Bob Skinstad ,@BobSkinstad)
17, Camfed ,@Camfed)
16, andrew harding ,@BBCAndrewH)
15, Euphonik™♛ ,@euphonik)
14, Ulrich J van Vuuren ,@UlrichJvV)
13, John Robbie ,@702JohnRobbie)
12, Cricket South Africa ,@OfficialCSA)
11, MTV Base Africa ,@MTVbaseAfrica)
10, Computicket ,@Computicket)
9, loyiso gola ,@loyisogola)
8, 5FM ,@5FM)
7, mailandguardian ,@mailandguardian)
6, Helen Zille ,@helenzille)
5, Julius Sello Malema ,@Julius_S_Malema)
4, News24 ,@News24)
3, Jacob G. Zuma ,@SAPresident)
2, Gareth Cliff ,@GarethCliff)
1, Trevor Noah ,@Trevornoah)
